date,r,N,Delta,sig20,x,g15,pnl_twd
2026-04-10,0.01596820071391769,568.0492286865538,10.423022284601775,64.29248544122808,2,7.0,965.227373749876
2026-04-14,0.023657476360996688,854.5979461806545,12.433709849388055,62.467907550070926,5,12.0,6747.893612473695
2026-04-21,0.017487310194053807,637.6986845989868,12.784224788403808,77.48928618644135,4,25.0,15699.99402590172
2026-04-24,0.032302199572309176,1173.411361760551,17.2051619292751,74.90869881325355,12,40.0,79608.48086907003
2026-04-27,0.017574821999157386,656.8712274976328,11.62546778591277,67.80147102891064,3,-73.0,-46752.78397263593
2026-05-04,0.04568877398326032,1696.0132500159675,18.24404041905149,66.2261675107196,18,43.0,129207.58978535447
2026-05-07,0.019323097266938705,763.8165503318958,11.586275059071266,61.66315542398153,3,34.0,17518.652928991072
2026-05-13,-0.012502171924793193,522.00146985806,13.059081824381686,83.69612957158267,3,7.0,1001.993946764379
2026-05-14,0.009117934959939067,372.4138834371835,11.086744078040143,83.31062673102267,1,-110.0,-22899.80055986384
2026-05-15,-0.013877023118791465,581.0279768320522,14.321429447278636,86.32367181595946,4,187.0,145018.75614253254
2026-05-18,-0.006813794497084968,281.70728092229433,10.853529775977055,94.73690716372033,1,19.0,2871.3384012909087
2026-05-19,-0.0175159726321793,733.6228864605304,15.193673301061864,80.99545146423183,6,70.0,76682.28427573944
2026-05-21,0.03366722620875828,1354.288722923672,20.552121018408272,79.50602426694998,17,-76.0,-285447.93157524616
2026-05-22,0.02175003462803926,909.2086652752802,16.553112587334926,79.3403726789968,8,7.0,871.2990621337028
2026-05-25,0.032564374395079865,1364.6456939803495,20.215657969197498,79.7221985858921,16,23.0,48870.653022765655
2026-05-27,0.016804681959050605,734.1867129808801,15.529510983068166,82.1032084763151,6,95.0,106610.686773343
2026-05-28,-0.01401728096021404,642.5572653647293,15.190485585696786,86.09020666841568,5,40.0,33970.02504468498
2026-05-29,0.025128081025858284,1096.2378998154695,19.385743225666715,85.1654118079696,13,-35.0,-110687.5410403804
2026-06-01,0.013524038437893848,618.3691156243947,13.960397731777393,82.97778713544206,4,78.0,57923.51384528308
2026-06-03,0.019795944931779497,932.9736869720441,17.181916236943536,83.81489630194181,9,47.0,72494.7989437161
2026-06-04,-0.016825530207606132,837.3490572932905,16.462414454632423,84.81465861388271,8,-40.0,-74509.14634479859
2026-06-05,-0.013278321517877667,666.4442442197484,14.701695300491217,85.03906223179528,5,-7.0,-12896.833211883264
2026-06-08,-0.034793150531140515,1814.790849322265,23.940114428447984,85.15390092124528,19,214.0,781853.2732538009
2026-06-09,0.02762260250954096,1396.4119684106895,22.279156954250684,93.95098105983384,18,124.0,416127.8708743973
2026-06-10,-0.033081725215660884,1813.5669601132017,23.710302378470182,87.87687259365856,19,-39.0,-179374.2367328571
2026-06-12,0.023629032669238548,1237.1760630950223,19.197481010367053,87.85650681351768,14,-87.0,-264416.16827795963
2026-06-15,0.027801147591163256,1472.0066488012578,18.853344284459144,78.98252638200557,16,-17.0,-77699.79250629144
2026-06-16,0.009079897147366012,501.3077599393054,10.920859790620563,78.95026749063045,2,-100.0,-41891.83545809453
2026-06-18,0.012812629489166616,705.1028021082477,13.34795615282428,80.87781557776876,4,122.0,93311.43531660338
2026-06-22,0.027468083641090546,1494.142732819488,19.88849326644253,82.51692011498704,17,16.0,28584.22305946231
2026-06-23,-0.013423538551671332,786.8202928021994,14.292836521366516,82.49495997364097,6,96.0,108184.51246202215
2026-06-24,-0.02244236544506295,1316.395905080443,19.26459504812471,86.14027727155892,15,-6.0,-40388.53231700651
2026-06-26,-0.03639586070859835,2218.273117422086,23.082835687501102,81.75333567957236,18,203.0,703769.0141110532
2026-06-29,0.00960563370169809,564.7998030741426,13.064189737665831,93.32484297221973,3,265.0,155847.44508116017
2026-06-30,0.025022500050000174,1481.3921558805748,25.331786789791323,111.09052733315245,18,53.0,158635.20946571577
2026-07-01,0.01936178603305594,1189.7815920975233,22.181924794713623,110.39397151732706,16,-33.0,-132782.8708485652
2026-07-02,-0.005845085145384732,331.84823023771605,11.783841924344063,110.74146040499727,1,249.0,48871.25191373685
2026-07-06,-0.004793224202672031,271.8614449916538,11.8554603294264,123.1702288020847,1,-63.0,-13557.610410864576
2026-07-07,-0.023139251131799488,1340.6298919220176,26.992400771711026,124.28507129727376,18,-49.0,-210979.34804733258
2026-07-08,0.005613566316491347,358.1005576740689,13.006294191750921,115.18994610733407,2,-101.0,-42517.599655157144
2026-07-09,-0.008304469216941945,544.1631267794994,15.86819992691873,113.70252045533,5,-147.0,-153392.132364058
2026-07-14,-0.014159599757781582,946.0956081711269,22.772416392152735,122.40287234331855,13,-2.0,-27790.867951835604
2026-07-15,0.019974987678246237,1329.2675255950016,26.697592366437814,120.66363643573293,18,75.0,235571.6139634262
2026-07-17,-0.06473887769375475,4783.8589303381195,59.588417887586296,145.16178814289285,19,146.0,513529.4022070804
2026-07-20,-0.005192486654369555,357.6389928755717,15.900283161282747,148.28081467270133,3,23.0,10042.471366911228
2026-07-21,0.04200665729086439,2782.9926203182313,43.51972416192598,144.86918781765627,18,78.0,243540.09777887946
2026-07-22,0.013404285093867818,932.8512388467137,25.57858649918158,146.32820895795214,14,-111.0,-337727.78843736334
2026-07-24,-0.026665516185772398,1947.543105905212,38.099794271563944,147.19789758223988,19,-91.0,-387130.2272489714
2026-07-28,-0.046542172548636795,3448.478861115682,50.065225108744215,142.67094086891365,20,161.0,600098.0662132159
2026-07-29,-0.037597444052595796,2741.6533277216413,40.87604101072928,132.8064975423781,20,-61.0,-285329.7817196019
2026-07-31,0.07979430700693402,5209.535968608562,57.06754983198224,135.60220460868933,19,-114.0,-472122.6897640587
2026-08-03,0.006184173145716398,467.0573586871009,15.57056938938512,126.23056390255847,4,-83.0,-71385.52249033186
2026-08-05,0.02884965311874854,2058.1992399223864,33.94050459880951,132.52641246181838,18,-5.0,-52913.006175753275
2026-08-06,-0.004817132763675902,364.7691612374783,14.474280943639842,131.94395740137875,2,22.0,6602.581350494147
2026-08-07,-0.0038469075404251596,290.78197023054054,12.897979409643224,130.1345457593794,1,-93.0,-19572.550540551474
2026-08-10,0.015892267677476868,1171.6499046959416,25.59944142686061,127.40098322350498,17,15.0,18641.617425244418
2026-08-11,0.004272541685993447,320.6626214722057,12.778776507547722,121.49397862489018,2,30.0,9852.63468073568
2026-08-12,0.008806375430179259,655.3752831543072,18.59606193810827,121.83011251652638,7,64.0,79528.75201479958
2026-08-13,0.011059563817183093,821.9369868507105,21.030703443419817,121.4454176726492,10,-86.0,-187978.85800481925
2026-08-14,-0.0045732992506977155,346.7803970283825,10.627662083437041,92.35913883485378,1,-62.0,-13298.281363951799
2026-08-18,-0.011962988638442695,888.5974793907841,16.59749444066345,85.96455818043796,8,91.0,135200.52882813325
2026-08-19,-0.013006999983226186,949.7617005219064,17.616140046552758,87.60189555747732,10,142.0,270069.5817644189
2026-08-20,0.004794121560353526,341.22953238108374,10.871711439379457,90.00824523634667,1,-9.0,-2705.415255351585
2026-08-21,0.006466187768923826,462.1394601039508,12.639932976001349,89.72031102557727,2,34.0,11594.783168106074
2026-08-24,-0.010215085742639629,745.9357361114271,16.10314459538626,87.60641649175203,7,-44.0,-70657.84317734627
2026-08-25,0.00909559647489222,646.4304513224639,14.871751127193496,87.23290060159887,5,-22.0,-27965.870279811217
2026-08-26,0.014681601241192777,1041.4631651556108,17.71599986520179,79.05193163191429,11,124.0,257418.88935082793
2026-08-28,0.007748304412681373,553.9707572065488,13.624118084409645,79.85803192639989,3,11.0,3386.885800315103
2026-08-31,-0.004381041387653384,316.1411192266737,10.201692285429036,74.83756093243417,1,46.0,8300.495229194685
2026-09-01,0.01778186009637861,1244.4275276600351,19.898641353882255,72.83109515208899,15,164.0,468842.0281603705
2026-09-02,-0.016699070815988204,1206.0556647591577,19.451973268228485,72.49847548306398,14,24.0,46083.67756497299
2026-09-03,-0.0066513995969216255,471.40126740566484,12.30346303218774,72.86136800368512,2,-21.0,-10381.116538983897
2026-09-04,0.01512222821661613,1040.3838167681572,18.005892295164347,72.45722876290543,11,20.0,28483.578573390212
